customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0051-ZTNX,Female,0,Yes,Yes,49,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.48,3836.57,No
0052-AAAA,Female,0,No,No,2,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,41.13,77.83,No
0053-BHND,Female,0,No,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),47.28,1063.0,Yes
0054-COAG,Female,0,Yes,Yes,35,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,38.63,1335.27,No
0055-DVNJ,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),86.98,5071.02,No
0056-ECAM,Male,1,No,Yes,5,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,43.57,211.73,No
0057-FJNP,Male,0,Yes,No,34,No,No phone service,DSL,Yes,No,No,No,Yes,No,One year,Yes,Mailed check,52.8,1718.81,No
0058-GQAS,Male,0,No,Yes,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,1057.62,Yes
0059-HXNV,Male,1,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,33.18,1822.59,No
0060-IEAY,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),49.49,2135.83,No
0061-JLNB,Male,0,Yes,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,34.69,No
0062-KSAE,Female,0,Yes,No,5,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Mailed check,29.77,162.32,No
0063-LZNH,Male,0,Yes,No,46,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,51.93,2190.81,No
0064-MGAK,Male,0,No,No,1,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),36.19, ,No
0065-NNNN,Female,1,No,No,3,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),105.8,347.63,No
0066-OUAQ,Male,0,Yes,Yes,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,472.22,No
0067-PBNT,Female,0,Yes,No,44,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,28.29,1431.22,No
0068-QIAW,Male,1,No,No,6,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),88.99,539.76,No
0069-RPNZ,Female,0,No,No,58,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),118.75,6268.03,No
0070-SWAC,Female,0,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),87.3,187.08,Yes
0071-TDNF,Male,0,No,Yes,1,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,81.87, ,No
0072-UKAI,Male,1,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),34.83,1047.63,Yes
0073-VRNL,Female,0,Yes,No,70,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),73.02,4885.43,Yes
0074-WYAO,Female,0,Yes,No,67,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.08,5794.88,No
0075-XFNR,Female,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,52.67, ,No
0076-YMAU,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),111.12, ,No
0077-ZTNX,Male,1,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.5,710.91,No
0078-AAAA,Male,0,No,No,29,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,93.39,2365.42,Yes
0079-BHND,Male,0,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Mailed check,18.25,1287.97,No
0080-COAG,Female,1,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),57.32,418.1,Yes
0081-DVNJ,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),59.65,256.78,Yes
0082-ECAM,Male,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),29.52,113.29,No
0083-FJNP,Male,0,Yes,No,72,No,No phone service,DSL,No,No,No,No,No,Yes,Two year,Yes,Electronic check,55.07,4037.99,No
0084-GQAS,Male,0,No,No,46,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer (automatic),45.35,2258.51,No
0085-HXNV,Male,0,Yes,No,43,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),35.1,1431.26,No
0086-IEAY,Female,1,No,Yes,4,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),71.87,269.37,Yes
0087-JLNB,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,87.19, ,Yes
0088-KSAE,Female,0,No,No,19,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,30.33,493.12,No
0089-LZNH,Male,0,No,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),18.25,1036.37,No
0090-MGAK,Male,0,Yes,No,1,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,60.25, ,Yes
0091-NNNN,Female,0,No,No,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.36,1045.08,No
0092-OUAQ,Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),106.31,3922.9,No
0093-PBNT,Female,1,Yes,No,6,No,No phone service,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,42.59,291.77,No
0094-QIAW,Female,0,Yes,No,46,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,84.46,3388.22,No
0095-RPNZ,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,58.18, ,Yes
0096-SWAC,Female,0,No,No,1,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,No,Electronic check,72.79, ,No
0097-TDNF,Male,1,Yes,No,11,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),24.75,248.69,No
0098-UKAI,Male,0,No,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,1397.48,No
0099-VRNL,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Mailed check,54.35,3812.44,No
0100-WYAO,Male,0,Yes,No,1,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,88.94,94.91,No
0101-XFNR,Female,1,No,No,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),31.89,1461.6,No
0102-YMAU,Male,0,Yes,Yes,1,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),58.0,63.01,No
0103-ZTNX,Female,0,No,No,61,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.53,5362.98,No
0104-AAAA,Female,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.7,76.64,No
0105-BHND,Male,0,Yes,No,5,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),43.78,199.71,Yes
0106-COAG,Male,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Mailed check,118.75,268.43,Yes
0107-DVNJ,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Electronic check,21.9,19.14,Yes
0108-ECAM,Male,0,Yes,Yes,64,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Mailed check,53.57,3299.75,No
0109-FJNP,Male,1,Yes,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),41.6,388.48,Yes
0110-GQAS,Male,1,Yes,No,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),65.23,3060.24,Yes
0111-HXNV,Male,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,1008.66,No
0112-IEAY,Female,0,No,No,55,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,118.75,6763.7,Yes
0113-JLNB,Female,0,No,Yes,1,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,18.25,20.29,No
0114-KSAE,Female,0,Yes,No,58,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),69.44,4535.17,Yes
0115-LZNH,Female,0,No,No,2,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),63.44,133.91,No
0116-MGAK,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,174.85,Yes
0117-NNNN,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,81.21,91.89,No
0118-OUAQ,Female,0,No,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,105.85,No
0119-PBNT,Female,0,No,Yes,51,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,62.92,3665.78,Yes
0120-QIAW,Female,0,Yes,Yes,12,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.84,1173.32,No
0121-RPNZ,Female,0,No,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),86.14,5121.89,Yes
0122-SWAC,Male,0,No,Yes,17,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),66.31,1215.34,Yes
0123-TDNF,Male,1,Yes,Yes,21,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),57.4,1283.1,No
0124-UKAI,Male,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.86,710.91,Yes
0125-VRNL,Male,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,25.12,260.56,No
0126-WYAO,Female,0,Yes,Yes,1,Yes,Yes,DSL,No,No,No,No,No,No,Two year,Yes,Electronic check,32.87,34.2,Yes
0127-XFNR,Female,0,No,No,55,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,59.92,3397.38,No
0128-YMAU,Male,1,Yes,Yes,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,29.84,133.1,Yes
0129-ZTNX,Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,1148.96,No
0130-AAAA,Male,0,Yes,No,10,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,105.24,1182.45,Yes
0131-BHND,Male,0,Yes,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),21.01,622.6,No
0132-COAG,Male,0,Yes,No,22,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),118.75,2390.45,No
0133-DVNJ,Male,1,No,No,66,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,84.37,5389.08,No
0134-ECAM,Female,0,No,No,57,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,21.37,1108.91,Yes
0135-FJNP,Male,0,No,No,63,Yes,Yes,DSL,No,No,No,No,No,Yes,One year,No,Mailed check,60.85,3788.76,No
0136-GQAS,Female,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,44.95,2541.11,No
0137-HXNV,Female,0,No,Yes,58,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,38.53,2431.01,Yes
0138-IEAY,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,110.11,118.13,No
0139-JLNB,Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),50.53,51.77,Yes
0140-KSAE,Female,0,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),84.79,4299.12,Yes
0141-LZNH,Male,0,Yes,No,24,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),68.73,1743.54,No
0142-MGAK,Male,1,Yes,Yes,21,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,84.46,1586.44,No
0143-NNNN,Male,0,Yes,No,38,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.59,1932.98,Yes
0144-OUAQ,Male,0,Yes,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.33,254.54,Yes
0145-PBNT,Male,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),22.92,1554.11,No
0146-QIAW,Female,0,Yes,Yes,59,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,39.88,2016.59,No
0147-RPNZ,Male,0,No,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),65.79,3136.55,Yes
0148-SWAC,Male,0,No,No,50,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),113.28,4869.75,No
0149-TDNF,Male,0,No,Yes,29,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),18.25,568.35,Yes
0150-UKAI,Female,0,No,Yes,1,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),92.19,102.3,Yes
0151-VRNL,Male,0,Yes,Yes,61,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),89.18,4629.92,No
0152-WYAO,Male,0,No,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),37.52,1032.21,No
0153-XFNR,Male,0,Yes,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,42.31,955.02,Yes
0154-YMAU,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,Yes,Credit card (automatic),28.68,915.27,No
0155-ZTNX,Male,1,No,Yes,68,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),118.75,9098.8,No
0156-AAAA,Female,1,No,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.25,1329.9,No
0157-BHND,Female,0,Yes,No,43,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),45.55,1979.3,No
0158-COAG,Male,0,No,No,30,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),53.86,1609.44,Yes
0159-DVNJ,Female,0,Yes,Yes,21,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,28.42,607.76,No
0160-ECAM,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),53.33,49.06,No
0161-FJNP,Female,1,No,No,39,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,27.8,1144.12,Yes
0162-GQAS,Female,0,Yes,No,61,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,47.29,2554.99,No
0163-HXNV,Female,0,No,No,1,No,No phone service,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),62.47,68.02,No
0164-IEAY,Male,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,16.86,Yes
0165-JLNB,Female,0,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.65,19.25,Yes
0166-KSAE,Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Mailed check,117.88,126.49,Yes
0167-LZNH,Male,0,No,No,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,79.98,263.72,Yes
0168-MGAK,Male,0,No,No,69,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),40.67,3022.53,Yes
0169-NNNN,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,27.76,52.01,Yes
0170-OUAQ,Female,0,Yes,No,43,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),18.25,705.16,No
0171-PBNT,Male,0,No,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.75,1577.83,Yes
